Title,Year,Age,IMDb,Rotten Tomatoes
V Wars,2019,18,61.0,60
The Windsors,2016,18,71.0,60
The Sons of Sam: A Descent Into Darkness,2021,18,70.0,60
Sunderland 'Til I Die,2018,18,81.0,60
Rebellion,2016,16,72.0,60
The A List,2018,7,55.0,60
Tales of the City,2019,16,74.0,60
Disjointed,2017,18,68.0,60
Gentefied,2020,16,74.0,60
Wanderlust,2018,16,71.0,60
Murder Among the Mormons,2021,16,70.0,60
Home for Christmas,2019,18,77.0,60
Paradise PD,2018,18,69.0,60
The Bachelorette,2003,16,34.0,60
Cold Case Files,1999,18,81.0,60
Little Witch Academia,2017,7,79.0,60
El marginal,2016,18,82.0,60
Teasing Master Takagi-san,2018,7,77.0,60
Kakegurui,2017,16,72.0,60
Attenborough's Life in Colour,2021,7,83.0,60
Mortel,2019,18,66.0,60
Kath & Kim,2002,7,83.0,60
Charité,2017,7,79.0,59
Hoarders,2009,7,64.0,59
Unsolved: The Murders of Tupac and The Notorious B.I.G.,2018,18,79.0,59
My Next Guest Needs No Introduction With David Letterman,2018,18,79.0,59
Record of Ragnarok,2021,18,62.0,59
White Lines,2020,18,66.0,59
Luis Miguel: The Series,2018,16,80.0,59
"Love, Chunibyo & Other Delusions",2012,16,74.0,59
Kabaneri of the Iron Fortress,2016,18,72.0,59
"Sister, Sister",1994,7,63.0,59
Greenhouse Academy,2017,7,69.0,59
Mr. Iglesias,2019,16,71.0,59
Hip Hop Evolution,2016,16,84.0,59
The Game,2006,16,67.0,59
Love on the Spectrum,2019,0,85.0,59
Greenleaf,2016,18,74.0,59
The Final Table,2018,0,77.0,59
Life Sentence,2018,16,66.0,59
Dogs of Berlin,2018,16,76.0,59
Yasuke,2021,18,62.0,59
Playing with Fire,2019,18,59.0,59
"Hello, My Twenties!",2016,16,83.0,59
Sam & Cat,2013,7,57.0,59
Girls from Ipanema,2019,16,79.0,59
Elite Short Stories: Omar Ander Alexis,2021,18,74.0,59
MEGALOBOX,2018,16,78.0,59
K-ON!,2009,16,77.0,59
The Family,2019,16,64.0,59
The Good Cop,2018,16,71.0,58
This is a Robbery: The World's Biggest Art Heist,2021,18,64.0,58
Chambers,2019,16,65.0,58
Selena: The Series,2020,7,68.0,58
BAKI,2018,18,67.0,58
Cells at Work!,2018,16,76.0,58
Reckoning,2019,18,66.0,58
Queen Sono,2020,18,59.0,58
WWII in HD,2009,18,87.0,58
I Am a Killer,2018,18,74.0,58
One of Us,2016,18,70.0,58
Cuckoo,2012,16,72.0,58
March Comes in Like a Lion,2016,7,84.0,58
Börü,2018,18,82.0,58
