Title,Year,Age,IMDb,Rotten Tomatoes
trailer park boys: the animated series,2019,18,75.0,55
ultraviolet,2017,18,70.0,55
ultraman,2019,16,69.0,54
no good nick,2019,7,60.0,54
daughter from another mother,2021,18,74.0,54
tiny house nation,2014,7,71.0,54
high-rise invasion,2021,18,67.0,54
mystic pop-up bar,2020,16,80.0,54
glow up: britain's next make-up star,2019,16,67.0,54
falsa identidad,2018,16,71.0,54
alien worlds,2020,7,65.0,54
barbie: life in the dreamhouse,2012,0,74.0,54
freud,2020,18,65.0,54
god eater,2015,16,70.0,54
el dragón: return of a warrior,2019,18,70.0,54
netflix presents: the characters,2016,18,54.0,54
vampires,2020,18,56.0,54
#blackaf,2020,18,68.0,54
ever after high,2013,0,80.0,54
sirius the jaeger,2018,16,68.0,54
eternal love,2017,7,83.0,54
murder mountain,2018,16,69.0,54
dope,2017,16,73.0,54
troy: fall of a city,2018,18,38.0,54
surviving escobar - alias jj,2017,18,79.0,54
skylines,2019,16,76.0,54
high score girl,2018,7,80.0,54
